종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
438560,6,SOL 국고채3년,102850,5,-110,-0.11,102834.0,-0.1358,42,4,178,채권,SOL,False,False,False
265690,4,ACE 러시아MSCI(합성),9590,3,0,0.0,44.0,0.0,0,0,177,해외 주식,ACE,False,False,False
217770,5,TIGER 원유선물인버스(H),3005,5,-30,-0.99,3001.0,-10.7353,66664,200,174,원자재,TIGER,True,False,True
442260,1,마이티 다이나믹퀀트액티브,11925,5,-115,-0.96,11947.0,6.9271,5,0,172,국내 시장지수,마이티,False,False,False
292730,1,FOCUS KRX300,16830,5,-155,-0.91,16878.0,9.5099,3,0,168,국내 시장지수,FOCUS,False,False,False
122090,1,ARIRANG 코스피50,24220,5,-175,-0.72,24254.0,8.0859,133,3,167,국내 시장지수,ARIRANG,False,False,False
289260,2,TIGER MSCI KOREA ESG리더스,9225,5,-75,-0.81,9235.0,7.7636,12,0,163,국내 업종/테마,TIGER,False,False,False
411720,4,KBSTAR 글로벌메타버스Moorgate,9555,2,30,0.31,9761.0,12.7886,4115,39,162,해외 주식,KBSTAR,False,False,False
316670,1,KOSEF 코스닥150,7625,5,-70,-0.91,7639.0,19.4875,10190,77,160,국내 시장지수,KOSEF,False,False,False
105780,2,KBSTAR 5대그룹주,6610,5,-60,-0.9,6606.0,4.3818,142,0,159,국내 업종/테마,KBSTAR,False,False,False
352560,7,KODEX 다우존스미국리츠(H),11745,5,-60,-0.51,11763.0,4.3213,659,7,159,기타,KODEX,False,False,True
252410,3,KBSTAR 200선물인버스,5630,2,40,0.72,5630.0,-6.9884,731,4,158,국내 파생,KBSTAR,True,False,False
139240,2,TIGER 200 철강소재,9900,5,-35,-0.35,9906.0,11.931,1161,11,156,국내 업종/테마,TIGER,False,False,False
385710,2,TIMEFOLIO 이노베이션액티브,9745,5,-215,-2.16,9795.0,18.9253,1660,16,156,국내 업종/테마,TIMEFOLIO,False,False,False
