종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,매출액,영업이익,당기순이익,영업이익률,순이익률,EPS(원)_x,PER(배)_x,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,종목코드,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,투자의견,목표주가,매수매도,PER(배)_y,EPS(원)_y,PBR(배),BPS(원),배당수익률%
보령,8860.0,40.0,-0.45%,8850.0,8880.0,128323.0,1145.0,160106.0,23-08-21,,,,,,,,15973355,15973355,1563770,9.79%,88.07,-0.14%,002620,코스피,1797,653,18650,9100,9550,2.0494505494505493,-9790.0,0.47506702412868634,,,,,-3875,0.5,22658.0,0.44
삼아제약 *,17440.0,80.0,-0.46%,17410.0,17480.0,16365.0,285.0,19123.0,23-08-21,,,,,,,,14669958,14669958,71035,0.48%,88.07,-0.21%,153710,코스닥,1059,807,9800,6130,3670,1.598694942903752,7640.0,1.779591836734694,,,,,-139,3.77,1915.0,
압타바이오 *,10140.0,50.0,-0.49%,10140.0,10150.0,204480.0,2086.0,369438.0,23-08-21,,,,,,,,87826844,87826844,1060588,1.21%,88.07,-0.08%,074430,코스닥,1309,652,2440,1315,1125,1.855513307984791,7700.0,4.155737704918033,,,,,-115,2.48,601.0,
티움바이오 *,7250.0,40.0,-0.55%,7240.0,7260.0,40314.0,293.0,32722.0,23-08-21,1868.0,177.0,116.0,9.49,6.21,,,22835036,22835036,1818087,7.96%,88.07,-0.08%,001060,코스닥,1242,220,52500,16267,36233,3.227392881293416,-45250.0,0.1380952380952381,4.0,40667.0,매수,28.81,1557,4.36,10285.0,0.81
HLB사이언스,1964.0,11.0,-0.56%,1887.0,1961.0,2297.0,4400.0,2506.0,23-08-21,1868.0,177.0,116.0,9.49,6.21,,,335325,335325,67,0.02%,88.07,-0.08%,001065,코스피,117,1600,35900,28070,7830,1.2789454934093338,-33936.0,0.0547075208913649,4.0,40667.0,매수,22.48,1557,3.4,10285.0,1.13
더블유에스아이 *,1908.0,11.0,-0.57%,1902.0,1903.0,35827.0,68.0,64439.0,23-08-21,,,,,,,,13763533,13763533,226829,1.65%,88.07,-0.14%,002390,코스닥,1807,644,18400,12490,5910,1.4731785428342674,-16492.0,0.10369565217391305,,,,123.87,106,0.5,26365.0,3.05
아이큐어 *,2535.0,15.0,-0.59%,2535.0,2550.0,88063.0,224.0,145548.0,23-08-21,,,,,,,,35437396,35437396,963050,2.72%,88.07,-0.14%,053950,코스닥,528,1280,3505,1349,2156,2.59822090437361,-970.0,0.7232524964336662,,,,,-121,0.51,2939.0,
비씨월드제약 *,6500.0,50.0,-0.76%,6530.0,6550.0,8218.0,54.0,22359.0,23-08-21,,,,,,,,32474435,32474435,761911,2.35%,88.07,-0.08%,066700,코스닥,1491,593,6080,3700,2380,1.6432432432432433,420.0,1.069078947368421,,,,25.08,183,1.07,4308.0,
JW생명과학,14280.0,110.0,-0.76%,14270.0,14290.0,37112.0,533.0,37496.0,23-08-21,326.0,16.0,14.0,4.78,4.39,6.0,4057.36,52240638,52240638,3299255,6.32%,88.07,-0.08%,009420,코스피,12041,198,25450,12450,13000,2.0441767068273093,-11170.0,0.5611001964636543,4.0,31125.0,매수,185.89,124,6.59,3497.0,
종근당,85600.0,700.0,-0.81%,85700.0,85800.0,15020.0,1289.0,39931.0,23-08-21,,,,,,,,9200224,9200224,99605,1.08%,88.07,-0.14%,270870,코스피,653,1147,12600,5480,7120,2.2992700729927007,73000.0,6.7936507936507935,,,,,-46,0.66,10690.0,3.52
